band,cells,median sd of c(q),monotone in the alignment,median r with dE double,median variance share
1,744,0.001365433935190216,0.12903225806451613,0.003416477501714025,2.751006070315977e-05
2,744,0.002831554667254568,0.1303763440860215,0.006156105317620014,4.7271377042447647e-05
3,744,0.00448495203241981,0.18413978494623656,0.008461650952820704,8.120375169889954e-05
4,744,0.007013150887464343,0.1881720430107527,0.010758469033239128,0.00014027350207663074
5,744,0.011282169208405442,0.20026881720430106,0.014932765216257148,0.0002721234668987345
6,744,0.01935696679386379,0.21236559139784947,0.019538871031948395,0.0004955621098648083
7,744,0.03463818097368687,0.20698924731182797,0.028021644125031955,0.0010884554930652378
8,744,0.06046524708172907,0.23790322580645162,0.04634725738883173,0.002683803464938856
9,744,0.1089151007348942,0.2661290322580645,0.077764438175846,0.007335335632638929
10,744,0.2488564344639107,0.375,0.21414196575430094,0.04585681870209228
