protein,drug,class,positions in range,upper tail cells,upper expected,upper enrichment,lower tail cells,lower expected,lower enrichment
IN,bictegravir,INSTI,6,23,1.7739463601532568,12.965442764578833,1,1.904214559386973,0.5251509054325956
IN,cabotegravir,INSTI,10,45,3.1226053639846745,14.411042944785276,1,3.2988505747126435,0.30313588850174217
IN,dolutegravir,INSTI,8,38,2.440613026819923,15.569858712715858,1,2.555555555555556,0.3913043478260869
IN,elvitegravir,INSTI,11,43,3.3908045977011487,12.681355932203392,2,3.4980842911877397,0.5717415115005476
IN,raltegravir,INSTI,11,49,3.3218390804597697,14.750865051903116,2,3.4482758620689653,0.5800000000000001
PR,atazanavir,PI,16,39,7.113402061855671,5.482608695652173,0,7.268041237113401,0.0
PR,darunavir,PI,10,8,4.608247422680411,1.736017897091723,0,4.680412371134021,0.0
PR,fosamprenavir,PI,11,30,4.742268041237113,6.326086956521739,0,4.855670103092784,0.0
PR,indinavir,PI,14,39,6.216494845360826,6.2736318407960185,0,6.31958762886598,0.0
PR,lopinavir,PI,16,41,7.164948453608249,5.72230215827338,0,7.268041237113402,0.0
PR,nelfinavir,PI,10,27,4.484536082474226,6.020689655172415,0,4.422680412371134,0.0
PR,saquinavir,PI,11,41,4.804123711340205,8.5343347639485,0,5.082474226804124,0.0
PR,tipranavir,PI,14,27,6.3298969072164954,4.265472312703583,0,6.453608247422681,0.0
RT,zidovudine,NRTI,6,42,5.193548387096774,8.08695652173913,0,5.849462365591398,0.0
RT,stavudine,NRTI,7,42,6.17741935483871,6.798955613577023,0,6.801075268817204,0.0
RT,didanosine,NRTI,2,14,1.9462365591397854,7.193370165745854,0,1.881720430107527,0.0
RT,abacavir,NRTI,4,24,3.9247311827957,6.115068493150684,0,3.849462365591398,0.0
RT,emtricitabine/lamivudine,NRTI,2,9,1.983870967741936,4.536585365853657,0,1.9516129032258065,0.0
RT,tenofovir,NRTI,2,5,1.881720430107527,2.657142857142857,0,1.924731182795699,0.0
RT,TAMs,NRTI,5,34,4.279569892473118,7.944723618090452,0,4.870967741935484,0.0
RT,69 insertion complex,NRTI,7,41,6.258064516129032,6.551546391752577,0,6.860215053763441,0.0
RT,151 complex,NRTI,5,13,4.698924731182796,2.766590389016018,0,4.682795698924731,0.0
RT,doravirine,NNRTI,5,12,4.849462365591398,2.47450110864745,0,4.827956989247312,0.0
RT,efavirenz,NNRTI,9,53,8.387096774193548,6.31923076923077,1,8.096774193548388,0.12350597609561752
RT,etravirine,NNRTI,9,41,8.634408602150538,4.748443337484433,0,8.322580645161292,0.0
RT,nevirapine,NNRTI,8,52,7.440860215053764,6.988439306358381,1,7.13978494623656,0.14006024096385541
RT,rilpivirine,NNRTI,7,35,6.698924731182796,5.224719101123595,0,6.435483870967742,0.0
